Symbol,Open,High,Low,LTP,Change,Pct_Change,Volume_Lacs,Turnover_Crs,High_52w,Low_52w,Return_365d,Return_30d,Sector,Range_52w,Position_in_52w_Range,Intraday_Range_Pct,Momentum_Score,High_Volume_Flag
RELIANCE,2467.8,2477.6,2401.5,2405.1,-87.85,-3.52,72.75,1770.19,2751.35,1830.0,23.48,-9.62,Conglomerate,921.3499999999999,62.42,3.17,10.24,1
SBILIFE,1154.0,1154.0,1105.25,1130.85,-28.65,-2.47,23.16,262.43,1273.9,825.2,33.19,-3.52,Insurance,448.70000000000005,68.12,4.41,18.51,0
SBIN,486.25,487.9,467.1,470.0,-20.55,-4.19,263.06,1249.55,542.3,240.15,93.42,-8.3,Banking,302.15,76.07,4.45,52.73,1
SHREECEM,26450.0,26539.9,25812.0,25900.0,-770.5,-2.89,0.3,76.94,32048.0,22531.0,9.29,-6.76,Cement,9517.0,35.4,2.82,2.87,0
SUNPHARMA,775.0,798.9,762.0,767.25,-15.65,-2.0,54.33,424.05,851.0,502.3,51.57,-5.69,Pharma,348.7,75.98,4.84,28.67,1
TATACONSUM,800.2,805.0,763.15,769.9,-37.9,-4.69,26.17,203.32,889.0,505.05,49.55,-4.82,FMCG,383.95,68.98,5.48,27.8,0
TATAMOTORS,486.0,486.75,458.0,459.4,-33.35,-6.77,517.88,2430.36,536.7,156.7,167.95,-9.68,Auto,380.00000000000006,79.66,6.28,96.9,1
TATASTEEL,1157.9,1159.5,1106.25,1110.25,-63.4,-5.4,106.46,1200.79,1534.5,539.5,105.13,-17.37,Metals,995.0,57.36,4.81,56.13,1
TCS,3425.0,3490.0,3411.9,3439.2,-6.7,-0.19,19.41,670.58,3989.9,2624.45,27.32,-1.25,IT,1365.4500000000003,59.67,2.29,15.89,0
TECHM,1544.0,1550.0,1510.15,1519.0,-40.35,-2.59,15.22,232.97,1630.0,846.7,76.17,-2.83,IT,783.3,85.83,2.64,44.57,0
TITAN,2377.8,2385.1,2285.05,2293.0,-104.8,-4.37,12.89,298.54,2677.9,1300.35,75.45,-6.59,Consumer,1377.5500000000002,72.06,4.38,42.63,0
ULTRACEMCO,7550.0,7599.0,7370.1,7398.45,-210.35,-2.76,2.66,198.32,8269.0,4770.0,53.5,1.78,Cement,3499.0,75.12,3.11,32.81,0
UPL,726.0,726.0,701.0,703.5,-23.8,-3.27,24.82,176.35,864.7,414.15,68.06,-1.37,Chemicals,450.55000000000007,64.22,3.57,40.29,0
WIPRO,632.0,634.4,619.65,621.3,-15.4,-2.42,41.39,259.37,739.85,346.25,77.51,-7.01,IT,393.6,69.88,2.38,43.7,1
